Player,IP,BF,ERA,FIP,WHIP,K%,BB%,GB%,FB%,SO/BB,WAR,HR9,Whiff%,Swing%,PutAway%,League
Logan Webb,207.0,856,3.22,2.6,1.237,26.2,5.4,52.8,16.9,4.87,3.9,0.6,,,,MLB
Garrett Crochet*,205.1,814,2.59,2.89,1.028,31.3,5.7,48.3,23.0,5.54,6.3,1.1,,,,MLB
Cristopher Sánchez*,202.0,807,2.5,2.55,1.064,26.3,5.5,58.2,16.9,4.82,8.0,0.5,,,,MLB
Max Fried*,195.1,801,2.86,3.07,1.101,23.6,6.4,51.9,21.2,3.71,4.5,0.6,,,,MLB
Carlos Rodón*,195.1,789,3.09,3.78,1.049,25.7,9.3,43.1,27.6,2.78,4.6,1.0,,,,MLB
Tarik Skubal*,195.1,748,2.21,2.45,0.891,32.2,4.4,40.9,27.3,7.3,6.6,0.8,,,,MLB
Kevin Gausman,193.0,775,3.59,3.42,1.062,24.4,6.5,36.5,29.8,3.78,3.8,1.0,,,,MLB
Zac Gallen,192.0,813,4.83,4.51,1.26,21.5,8.1,43.7,30.3,2.65,1.1,1.5,,,,MLB
Framber Valdez*,192.0,802,3.66,3.38,1.245,23.3,8.5,58.3,16.5,2.75,3.8,0.7,,,,MLB
Paul Skenes,187.2,733,1.97,2.36,0.948,29.5,5.7,44.3,24.9,5.14,7.6,0.5,,,,MLB
Bryan Woo,186.2,731,2.94,3.47,0.927,27.1,4.9,40.4,26.8,5.5,4.3,1.3,,,,MLB
Zack Littell,186.2,759,3.81,4.88,1.104,17.1,4.2,40.0,27.8,4.06,3.2,1.7,,,,MLB
Hunter Brown,185.1,729,2.43,3.14,1.025,28.3,7.8,47.7,23.3,3.61,6.1,0.8,,,,MLB
Merrill Kelly,184.0,748,3.52,3.76,1.114,22.3,6.4,42.9,25.8,3.48,2.9,1.1,,,,MLB
Jesús Luzardo*,183.2,758,3.92,2.9,1.22,28.5,7.5,41.7,25.3,3.79,3.9,0.8,,,,MLB
Tanner Bibee,182.1,762,4.24,4.34,1.229,21.3,7.1,44.6,26.5,3.0,1.1,1.3,,,,MLB
Robbie Ray*,182.1,755,3.65,3.93,1.212,24.6,9.7,36.0,33.1,2.55,2.8,1.1,,,,MLB
Nick Pivetta,181.2,721,2.87,3.49,0.985,26.4,6.9,33.3,33.3,3.8,5.3,1.1,,,,MLB
Luis Castillo,180.2,745,3.54,3.88,1.185,21.7,6.2,40.8,28.7,3.52,2.1,1.1,,,,MLB
Sonny Gray,180.2,753,4.28,3.39,1.234,26.7,5.0,44.7,23.2,5.29,1.4,1.2,,,,MLB
Jake Irvin,180.0,787,5.7,5.64,1.428,15.8,7.9,42.9,27.9,2.0,-0.4,1.9,,,,MLB
Matthew Boyd*,179.2,718,3.21,3.65,1.091,21.4,5.8,37.6,30.4,3.67,2.6,1.0,,,,MLB
Yusei Kikuchi*,178.1,772,3.99,4.23,1.424,22.5,9.6,39.5,27.6,2.35,3.3,1.2,,,,MLB
Freddy Peralta,176.2,723,2.7,3.65,1.075,28.2,9.1,36.8,28.9,3.09,5.5,1.1,,,,MLB
Brandon Pfaadt,176.2,767,5.25,4.22,1.33,19.2,4.8,41.9,23.9,3.97,0.6,1.3,,,,MLB
Mitch Keller,176.1,749,4.19,4.02,1.259,20.0,6.8,43.8,24.4,2.94,1.4,1.1,,,,MLB
Sandy Alcantara,174.2,745,5.36,4.28,1.271,19.1,7.7,46.5,24.1,2.49,0.0,1.1,,,,MLB
Yoshinobu Yamamoto,173.2,684,2.49,2.94,0.99,29.4,8.6,52.7,22.1,3.41,5.0,0.7,,,,MLB
Jacob deGrom,172.2,669,2.97,3.65,0.921,27.7,5.5,37.6,33.1,5.0,2.9,1.4,,,,MLB
Michael Wacha,172.2,716,3.86,3.66,1.222,17.6,6.3,35.9,27.2,2.8,2.8,0.8,,,,MLB
Dean Kremer,171.2,708,4.19,3.97,1.212,20.1,6.4,39.8,28.4,3.16,2.1,1.2,,,,MLB
Joe Ryan,171.0,689,3.42,3.74,1.035,28.2,5.7,36.5,32.2,4.97,4.5,1.4,,,,MLB
Jeffrey Springs*,171.0,713,4.11,4.65,1.211,19.4,7.6,30.9,29.5,2.56,1.9,1.5,,,,MLB
Chris Bassitt,170.1,736,3.96,4.01,1.327,22.6,7.1,45.9,21.6,3.19,2.1,1.2,,,,MLB
Brady Singer,169.2,716,4.03,3.98,1.238,22.8,8.4,39.0,28.4,2.72,3.1,1.0,,,,MLB
José Soriano,169.0,724,4.26,3.73,1.396,21.0,10.8,64.5,12.1,1.95,2.3,0.6,,,,MLB
David Peterson*,168.2,723,4.22,3.49,1.37,20.7,9.0,54.2,16.0,2.31,1.4,0.6,,,,MLB
Dylan Cease,168.0,722,4.55,3.56,1.327,29.8,9.8,36.6,30.5,3.03,1.1,1.1,,,,MLB
Ryan Pepiot,167.2,679,3.86,4.36,1.163,24.6,9.0,38.2,29.9,2.74,1.9,1.4,,,,MLB
