球員,球隊,背號,IP,BF,ERA,ERA+,tERA+,FIP,WHIP,LOB%,BABIP,AVG,OBP,SLG,OPS,OPS+,tOPS+,PutAway%,K%,BB%,Strike%,Swing%,1st Pitch Swing%,Whiff%,Contact%,GB%,LD%,FB%,POP%,LEFT%,MIDDLE%,RIGHT%,Year
猛登,Brothers,80,154,641,2.864,128,128.5,3.57,1.136,76.4,0.274,0.233,0.304,0.317,0.621,79.7,84.9,35.5,17.8,6.7,64.7,47,23.1,18.7,81.3,50.7,13.1,30.8,5.4,29.3,34.7,36,2024
艾速特,Brothers,35,"113, 2/3",464,2.771,132.3,132.8,2.533,1.152,76.1,0.319,0.246,0.298,0.312,0.611,76.5,81.6,42.7,23.5,5.8,65.9,48.8,25.9,23.8,76.2,45,13.8,34.4,6.9,36.4,35.9,27.7,2024
謝榮豪,Brothers,79,"35, 1/3",152,4.075,90,90.3,4.311,1.415,70.5,0.292,0.269,0.336,0.373,0.709,104.9,110.9,27.6,13.8,9.2,63.8,48.1,28.9,17.7,82.3,30.2,19.8,39.7,10.3,27.2,28.4,44.4,2024
吳俊偉,Brothers,94,58,245,2.638,139,139.5,3.122,1.19,73.7,0.273,0.212,0.301,0.284,0.585,69.7,74.4,42,22.4,10.2,64.5,46.4,26.1,26.8,73.2,54.3,9.9,32.7,3.1,27.8,33,39.2,2024
德保拉,Brothers,46,127,516,3.047,120.3,120.8,2.988,1.094,71.4,0.293,0.247,0.289,0.321,0.61,76.2,81.4,34.1,17.6,4.1,67.5,48.6,28.3,16,84,58.1,11.9,25,5.1,29.8,35.9,34.3,2024
王凱程,Brothers,15,40,163,3.15,116.4,116.9,3.622,1.175,74.6,0.277,0.241,0.321,0.333,0.654,89.3,94.7,30.1,13.5,8,63.8,44.9,19,18.7,81.3,64.5,6.5,24.2,4.8,27.4,35.9,36.7,2024
彭識穎,Brothers,21,"3, 2/3",18,2.455,149.4,149.9,5.031,1.636,57.1,0.308,0.286,0.412,0.5,0.912,163,170.9,20,5.6,11.1,54,47.6,27.8,16.7,83.3,42.9,7.1,35.7,14.3,32.1,32.1,35.7,2024
李振昌,Brothers,34,"38, 1/3",178,4.696,78.1,78.4,3.357,1.643,65.6,0.333,0.276,0.362,0.359,0.721,108.9,114.8,37,15.2,11.2,61.2,45.6,27,14.6,85.4,31.5,13.1,47.7,7.7,33.5,36.5,30,2024
李吳永勤,Brothers,30,"3, 2/3",19,14.727,24.9,25,5.031,1.909,25,0.357,0.357,0.444,0.429,0.873,153.1,160.1,20,5.3,10.5,58.6,46.6,36.8,18.5,81.5,40,0,53.3,6.7,50,20,30,2024
徐基麟,Brothers,70,"32, 1/3",140,3.34,109.8,110.2,5.101,1.299,78.4,0.257,0.243,0.36,0.339,0.699,102.7,108.4,23,10,10,60.6,41.4,20,13.3,86.7,48.1,7.7,38.5,5.8,34.1,32.2,33.7,2024
蔡齊哲,Brothers,50,"45, 1/3",193,5.162,71,71.3,4.269,1.257,56.2,0.265,0.253,0.309,0.406,0.715,105.8,112.2,28.2,12.4,7.3,64.5,48.3,31.1,15.8,84.2,31.4,9.2,49.7,9.8,37.3,32,30.7,2024
陳琥,Brothers,62,"40, 1/3",174,4.24,86.5,86.8,3.072,1.388,66.4,0.333,0.263,0.329,0.314,0.644,86.4,91.6,44.7,21.8,8.6,62.4,44.8,23,20.9,79.1,44.2,13.3,33.3,9.2,31.3,31.7,37.1,2024
魏碩成,Brothers,14,"73, 1/3",347,6.014,61,61.2,4.322,1.814,64.6,0.389,0.324,0.426,0.412,0.838,142.9,149.7,32.9,15.9,11.8,61.1,40.9,23.3,16.9,83.1,61.9,13.8,23,1.3,37.9,35.8,26.4,2024
呂彥青,Brothers,58,54,229,4.167,88,88.3,3.048,1.352,63.2,0.331,0.273,0.329,0.376,0.704,103.6,109.6,37.2,18.3,7.4,64.9,46,21,19.9,80.1,48.5,16.6,30.2,4.7,31.7,38.2,30.2,2024
廖乙忠,Brothers,11,"3, 1/3",22,13.5,27.2,27.3,6.422,3.3,58.3,0.467,0.412,0.545,0.529,1.075,211.3,220,22.2,9.1,18.2,56,44,22.7,21.6,78.4,33.3,6.7,46.7,13.3,13.3,40,46.7,2024
余謙,Brothers,49,"36, 2/3",167,5.155,71.1,71.4,4.322,1.555,63.6,0.32,0.291,0.37,0.404,0.774,123.7,130.3,27.6,12.6,9.6,61.3,43.6,24,17.5,82.5,47.6,15.9,30.2,6.3,34.5,32.1,33.3,2024
